
2024/09/23 (12:14:49) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/23 (12:14:49) | DEBUG: Shared::init() : Initialized.

2024/09/24 (12:07:28) | ===> btop++ v.1.4.0
2024/09/24 (12:07:28) | INFO: Logger set to DEBUG
2024/09/24 (12:07:28) | DEBUG: Using locale en_US.UTF-8
2024/09/24 (12:07:28) | INFO: Running on /dev/pts/1
2024/09/24 (12:07:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/24 (12:07:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/24 (12:07:28) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/24 (12:07:28) | DEBUG: Shared::init() : Initialized.
2024/09/24 (12:07:29) | DEBUG: Writing new config file
2024/09/24 (12:07:29) | INFO: Quitting! Runtime: 00:00:01

2024/09/24 (18:20:21) | ===> btop++ v.1.4.0
2024/09/24 (18:20:21) | INFO: Logger set to DEBUG
2024/09/24 (18:20:21) | DEBUG: Using locale en_US.UTF-8
2024/09/24 (18:20:21) | INFO: Running on /dev/pts/0
2024/09/24 (18:20:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/24 (18:20:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/24 (18:20:21) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/24 (18:20:21) | DEBUG: Shared::init() : Initialized.
2024/09/24 (18:20:31) | INFO: Quitting! Runtime: 00:00:10

2024/09/27 (14:40:45) | ===> btop++ v.1.4.0
2024/09/27 (14:40:45) | INFO: Logger set to DEBUG
2024/09/27 (14:40:45) | DEBUG: Using locale en_US.UTF-8
2024/09/27 (14:40:45) | INFO: Running on /dev/pts/0
2024/09/27 (14:40:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/27 (14:40:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/27 (14:40:45) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/27 (14:40:45) | DEBUG: Shared::init() : Initialized.
2024/09/27 (14:41:01) | DEBUG: Writing new config file
2024/09/27 (14:41:01) | INFO: Quitting! Runtime: 00:00:16

2024/09/27 (17:58:52) | ===> btop++ v.1.4.0
2024/09/27 (17:58:52) | INFO: Logger set to DEBUG
2024/09/27 (17:58:52) | DEBUG: Using locale en_US.UTF-8
2024/09/27 (17:58:52) | INFO: Running on /dev/pts/2
2024/09/27 (17:58:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/27 (17:58:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/27 (17:58:52) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/27 (17:58:52) | DEBUG: Shared::init() : Initialized.
2024/09/27 (17:59:12) | INFO: Quitting! Runtime: 00:00:20

2024/09/27 (18:23:49) | ===> btop++ v.1.4.0
2024/09/27 (18:23:49) | INFO: Logger set to DEBUG
2024/09/27 (18:23:49) | DEBUG: Using locale en_US.UTF-8
2024/09/27 (18:23:49) | INFO: Running on /dev/pts/1
2024/09/27 (18:23:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/27 (18:23:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/27 (18:23:50) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/27 (18:23:50) | DEBUG: Shared::init() : Initialized.
2024/09/27 (18:24:00) | INFO: Quitting! Runtime: 00:00:11

2024/09/27 (18:25:07) | ===> btop++ v.1.4.0
2024/09/27 (18:25:07) | INFO: Logger set to DEBUG
2024/09/27 (18:25:07) | DEBUG: Using locale en_US.UTF-8
2024/09/27 (18:25:07) | INFO: Running on /dev/pts/1
2024/09/27 (18:25:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/27 (18:25:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/27 (18:25:07) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/27 (18:25:07) | DEBUG: Shared::init() : Initialized.
2024/09/27 (18:25:21) | INFO: Quitting! Runtime: 00:00:14

2024/09/28 (20:32:14) | ===> btop++ v.1.4.0
2024/09/28 (20:32:14) | INFO: Logger set to DEBUG
2024/09/28 (20:32:14) | DEBUG: Using locale en_US.UTF-8
2024/09/28 (20:32:14) | INFO: Running on /dev/pts/1
2024/09/28 (20:32:14) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/28 (20:32:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/28 (20:32:14) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/28 (20:32:14) | DEBUG: Shared::init() : Initialized.
2024/09/28 (20:32:29) | INFO: Quitting! Runtime: 00:00:15

2024/09/28 (20:34:49) | ===> btop++ v.1.4.0
2024/09/28 (20:34:49) | INFO: Logger set to DEBUG
2024/09/28 (20:34:49) | DEBUG: Using locale en_US.UTF-8
2024/09/28 (20:34:49) | INFO: Running on /dev/pts/1
2024/09/28 (20:34:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/28 (20:34:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/28 (20:34:49) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/28 (20:34:49) | DEBUG: Shared::init() : Initialized.
2024/09/29 (20:14:44) | INFO: Quitting! Runtime: 23:39:55

2024/10/04 (14:55:53) | ===> btop++ v.1.4.0
2024/10/04 (14:55:53) | INFO: Logger set to DEBUG
2024/10/04 (14:55:53) | DEBUG: Using locale en_US.UTF-8
2024/10/04 (14:55:53) | INFO: Running on /dev/pts/2
2024/10/04 (14:55:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/04 (14:55:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/04 (14:55:53) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/04 (14:55:53) | DEBUG: Shared::init() : Initialized.

2025/01/07 (19:09:35) | ===> btop++ v.1.4.0
2025/01/07 (19:09:35) | INFO: Logger set to DEBUG
2025/01/07 (19:09:35) | DEBUG: Using locale en_US.UTF-8
2025/01/07 (19:09:35) | INFO: Running on /dev/pts/0
2025/01/07 (19:09:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/07 (19:09:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/07 (19:09:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/07 (19:09:35) | DEBUG: Shared::init() : Initialized.

2025/01/08 (08:58:17) | ===> btop++ v.1.4.0
2025/01/08 (08:58:17) | INFO: Logger set to DEBUG
2025/01/08 (08:58:17) | DEBUG: Using locale en_US.UTF-8
2025/01/08 (08:58:17) | INFO: Running on /dev/pts/1
2025/01/08 (08:58:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/08 (08:58:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/08 (08:58:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/08 (08:58:17) | DEBUG: Shared::init() : Initialized.

2025/01/09 (23:01:20) | ===> btop++ v.1.4.0
2025/01/09 (23:01:20) | INFO: Logger set to DEBUG
2025/01/09 (23:01:20) | DEBUG: Using locale en_US.UTF-8
2025/01/09 (23:01:20) | INFO: Running on /dev/pts/0
2025/01/09 (23:01:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/09 (23:01:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/09 (23:01:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/09 (23:01:20) | DEBUG: Shared::init() : Initialized.

2025/01/12 (17:57:47) | ===> btop++ v.1.4.0
2025/01/12 (17:57:47) | INFO: Logger set to DEBUG
2025/01/12 (17:57:47) | DEBUG: Using locale en_US.UTF-8
2025/01/12 (17:57:47) | INFO: Running on /dev/pts/1
2025/01/12 (17:57:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/12 (17:57:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/12 (17:57:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/12 (17:57:47) | DEBUG: Shared::init() : Initialized.

2025/01/14 (20:16:30) | ===> btop++ v.1.4.0
2025/01/14 (20:16:30) | INFO: Logger set to DEBUG
2025/01/14 (20:16:30) | DEBUG: Using locale en_US.UTF-8
2025/01/14 (20:16:30) | INFO: Running on /dev/pts/0
2025/01/14 (20:16:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/14 (20:16:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/14 (20:16:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/14 (20:16:30) | DEBUG: Shared::init() : Initialized.

2025/01/15 (01:45:25) | ===> btop++ v.1.4.0
2025/01/15 (01:45:25) | INFO: Logger set to DEBUG
2025/01/15 (01:45:25) | DEBUG: Using locale en_US.UTF-8
2025/01/15 (01:45:25) | INFO: Running on /dev/pts/2
2025/01/15 (01:45:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/15 (01:45:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/15 (01:45:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (01:45:25) | DEBUG: Shared::init() : Initialized.
2025/01/15 (01:46:13) | INFO: Quitting! Runtime: 00:00:48

2025/01/15 (01:48:25) | ===> btop++ v.1.4.0
2025/01/15 (01:48:25) | INFO: Logger set to DEBUG
2025/01/15 (01:48:25) | DEBUG: Using locale en_US.UTF-8
2025/01/15 (01:48:25) | INFO: Running on /dev/pts/2
2025/01/15 (01:48:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/15 (01:48:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/15 (01:48:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (01:48:25) | DEBUG: Shared::init() : Initialized.

2025/01/15 (01:53:51) | ===> btop++ v.1.4.0
2025/01/15 (01:53:51) | INFO: Logger set to DEBUG
2025/01/15 (01:53:51) | DEBUG: Using locale en_US.UTF-8
2025/01/15 (01:53:51) | INFO: Running on /dev/pts/2
2025/01/15 (01:53:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/15 (01:53:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/15 (01:53:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (01:53:51) | DEBUG: Shared::init() : Initialized.
2025/01/15 (01:53:58) | INFO: Quitting! Runtime: 00:00:07

2025/01/15 (01:59:33) | ===> btop++ v.1.4.0
2025/01/15 (01:59:33) | INFO: Logger set to DEBUG
2025/01/15 (01:59:33) | DEBUG: Using locale en_US.UTF-8
2025/01/15 (01:59:33) | INFO: Running on /dev/pts/2
2025/01/15 (01:59:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/15 (01:59:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/15 (01:59:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (01:59:33) | DEBUG: Shared::init() : Initialized.

2025/01/15 (03:16:24) | ===> btop++ v.1.4.0
2025/01/15 (03:16:24) | INFO: Logger set to DEBUG
2025/01/15 (03:16:24) | DEBUG: Using locale en_US.UTF-8
2025/01/15 (03:16:24) | INFO: Running on /dev/pts/5
